condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,mse_mean,mse_std,rmse_mean,rmse_std,n_targets_used
topk,50.0,7,100,100,5000,,,,11612.21484449339,20205.24971255961,87.80783371144078,62.60403075289749,227
topk,50.0,8,100,100,5000,,,,12215.722115859031,21749.899361990716,90.6267814042085,63.405195554096764,227
topk,50.0,9,100,100,5000,,,,10878.31927136564,19017.638577605852,85.61336367680728,59.702372787039714,227
topk,100.0,0,100,100,5000,,,,13116.494183962512,24542.44337602733,92.39427911401603,67.82371218498844,227
topk,100.0,0,100,100,10000,,,,12645.85081400069,24036.42422016962,90.4539497877231,66.96032930914585,227
topk,100.0,0,100,100,50000,,,,11945.028482801383,22874.904972853874,87.58990209137525,65.51293597566989,227
topk,100.0,0,100,100,20000,,,,12410.240015611816,24292.97173884025,89.18663610554086,66.90067786619855,227
topk,100.0,0,100,100,1000,,,,14642.26495683588,27285.763457920577,97.52062990130898,71.79623686772211,227
topk,100.0,1,100,100,5000,,,,11392.929925550661,19963.150006351363,88.31914123637411,60.07125717860732,227
topk,100.0,2,100,100,5000,,,,13016.886085462555,20405.3452386521,95.38679911574434,62.73421718311731,227
topk,100.0,3,100,100,5000,,,,14985.690506167402,28522.008569735084,97.38177412589673,74.34263805810478,227
topk,100.0,4,100,100,5000,,,,10758.848795594713,17224.170258420596,87.38196547053731,56.00946845067836,227
topk,100.0,5,100,100,5000,,,,10621.972532599118,18912.387830814732,83.87973422548974,60.01692007669544,227
topk,100.0,6,100,100,5000,,,,10983.69814889868,20296.49034437622,87.01875991220892,58.536556194016434,227
topk,100.0,7,100,100,5000,,,,11764.298769603525,18819.18283280721,90.11597173248298,60.49406328976746,227
topk,100.0,8,100,100,5000,,,,12558.290279295154,22565.91095041655,92.14227878460188,63.922540165256656,227
topk,100.0,9,100,100,5000,,,,10976.206267400881,18018.472314772825,87.01659408155422,58.47548185847417,227
