condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,mse_mean,mse_std,rmse_mean,rmse_std,n_targets_used
topk,0.0,5,100,100,50000,20,32,0.001,10353.534394150789,20736.00162211151,80.90129116958367,61.84955391639961,227
topk,0.0,6,100,100,50000,20,32,0.001,16420.26322041314,79762.85058198283,90.02629495715698,91.39104887645512,227
topk,0.0,7,100,100,50000,20,32,0.001,10919.532848954726,17762.641683614074,85.785086629161,59.80138771227509,227
topk,0.0,8,100,100,50000,20,32,0.001,12284.007640418502,23232.92334624094,89.8282883062814,65.06562994075537,227
topk,0.0,9,100,100,50000,20,32,0.001,10202.11096124187,19654.641311831503,82.00184238981058,59.10327690118371,227
topk,50.0,0,100,100,50000,20,32,0.001,15207.040375898589,44637.130235103185,93.25545761884781,80.86573653489772,227
topk,50.0,1,100,100,50000,20,32,0.001,24245.14719362301,199906.90474484637,93.6459093509591,124.67584738507719,227
topk,50.0,2,100,100,50000,20,32,0.001,12427.673663000704,21479.53333462059,91.75975473283525,63.44725995611343,227
topk,50.0,3,100,100,50000,20,32,0.001,14953.26952725045,28110.85262398641,96.79546232706075,74.89069072764494,227
topk,50.0,4,100,100,50000,20,32,0.001,101101.99034034628,1364678.7433977271,103.1421509963497,301.4365087861824,227
topk,50.0,5,100,100,50000,20,32,0.001,10397.62074706628,20825.983234947475,81.0302810604923,62.03764007737227,227
topk,50.0,6,100,100,50000,20,32,0.001,16362.2080053758,79713.15387961833,89.90114294200946,91.19555711801773,227
topk,50.0,7,100,100,50000,20,32,0.001,10950.335151143012,17856.475708555685,85.80836794077481,60.02609408038897,227
topk,50.0,8,100,100,50000,20,32,0.001,12305.071697655228,23233.098050817935,89.93276078204522,65.08325653396344,227
topk,50.0,9,100,100,50000,20,32,0.001,10186.847654098981,19617.6112174241,81.99796500853111,58.97885383773142,227
topk,100.0,0,100,100,5000,20,32,0.001,14196.678881136857,27230.48843822144,95.51630329924143,71.38461304967174,227
topk,100.0,0,100,100,1000,20,32,0.001,15317.67424354049,29314.64272415681,99.44395418400951,73.84168510874923,227
topk,100.0,0,100,100,20000,20,32,0.001,13011.88388713551,24388.966891935273,91.9759290969242,67.61993292595247,227
topk,100.0,0,100,100,10000,20,32,0.001,13508.87105640966,24040.084048567842,94.61975163807884,67.64711990786117,227
topk,100.0,0,100,100,50000,20,32,0.001,12703.915888479627,23495.79790764513,91.05458065677128,66.5770657709442,227
topk,100.0,1,100,100,50000,20,32,0.001,11040.292691554267,16959.511397119873,87.3522004878066,58.52327529784543,227
